序号,地区分类,开始日期,结束日期,标题,里程英里,里程公里,里程来源,飞行次数,地图URL
40,非自驾,2019.08.30,2019.09.02,2019.08.30-2019.09.02 西雅图,,,,,
41,美国其他,2019.09.21,2019.09.24,2019.09.21-09.24 佐治亚州Cumberland Island,,832,Timeline 生成 KML 坐标计算,1,1OXm6YYbrbRnR8zVYLv9r2icy3MmqiJ8
42,非自驾,2019.10.12,2019.10.13,2019.10.12-2019.10.13 洛杉矶,,,,2,
43,美国其他,2019.11.09,2019.11.11,2019.11.09-11.11 得克萨斯奥斯汀-圣安东尼奥-休斯顿-达拉斯,,1428,Timeline 生成 KML 坐标计算,1,1LO0PLeejTVtGN6WTGDAv9yRh64xauuY
44,西海岸,2019.11.27,2019.12.01,2019.11.27-12.01 俄勒冈波特兰,,2501,Timeline 生成 KML 坐标计算,,1auUtdOSrWBiNGUqpCq40W-rVxJeV5j0
45,世界,2019.12.22,2020.01.01,2019.12.22-2020.01.01 法-德-奥-斯洛伐克-匈-捷克,,2906,Timeline 生成 KML 坐标计算,2,1Vk4pZK0GRL1xzQJby-HD05PSYcP7JgE
46,美国其他,2020.01.18,2020.01.21,2020.01.18-01.21 佛罗里达迈阿密-KeyWest,,831,Timeline 生成 KML 坐标计算,1,1QpUfe8xZJfOSTYVWCCqapeN438zPFhs
47,西海岸,2020.08.14,2020.08.16,2020.08.14-08.16 火山口湖-拉森火山,,1585,Timeline 生成 KML 坐标计算,,1Wzf4IT_HYwsKKT3yOebFk1txnzLmW6Q
48,加州小型游,2020.08.28,2020.08.29,2020.08.28-08.29 红杉国家公园,,889,Timeline 生成 KML 坐标计算,,1y-JHbs9A5ujAKQhIFRVVBZzmTiIkWsA
49,西海岸,2020.09.04,2020.09.07,2020.09.04-09.07 死亡谷-拉斯维加斯-约书亚树,,2326,Timeline 生成 + 回忆线路 KML 坐标计算,,1XO5RLTcMuXV9DbFSr5-pWK5pwKMkBtk
50,加州小型游,2020.10.09,2020.10.10,2020.10.09-10.10 加利福尼亚Bishop,,1088,Timeline 生成 KML 坐标计算,,1SfEhV9T5y4_sWOrasY_tQnCyDIRj5mo&ehbc=2E312F
51,亚利桑那合集,2020.11.06,2020.11.15,2020.11.06-11.15 亚利桑那菲尼克斯-塞多纳-Flagstaff,,4333,Timeline 生成 KML 坐标计算,,1_C7U5cuLojGgqJ2WG3CBOoiK9lXH2Vo
52,加州小型游,2021.02.14,2021.02.15,2021.02.14-02.15 加利福尼亚蒙特雷,,491,Timeline 生成 KML 坐标计算,,1ucrSOWUZLtxLoxiu-xt3ZFSzoES0Oxg
53,加州小型游,2021.02.19,2021.02.21,2021.02.19-02.21 加利福尼亚LonePine,,1526,Timeline 生成 KML 坐标计算,,1SKU4ts4CZjTMWAIxJQm83CEUFSUCsPo
54,落地丹佛,2021.05.14,2021.05.17,2021.05.14-05.17 怀俄明-南达科他-内布拉斯加,,2076,Timeline 生成 KML 坐标计算,1,17qCNWdCoXtsByPWmaUU0B9CTalSntUg
55,美国其他,2021.05.29,2021.06.05,2021.05.29-06.05 犹他-内华达拉斯维加斯,,2473,Timeline 生成 KML 坐标计算,1,1SEfw-w_UXrEyxDGs57bIXc47GIaxqho
57.1,西海岸,2021.07.04,2021.07.04,2021.07.04 旧金山湾区一日七章特别篇,,281,Timeline 生成 KML 坐标计算,,1vps_AabvO-YU_LJUiunuhd5nXaQAHrs
56,西海岸,2021.08.06,2021.08.08,2021.08.06-08.08 LavaBeds-火山口湖-Redwood,,1712,Timeline 生成 KML 坐标计算,,1lrJlunPVWMdGDxUMMEx5AeNaotBoZgk
57,加州小型游,2021.09.11,2021.09.12,2021.09.11-09.12 优胜美地,,984,Timeline 生成 KML 坐标计算,,1RcdyD6tunDXhoULrN0FuEYyxXHOeCyw
58,西海岸,2021.10.15,2021.10.17,2021.10.15-10.17 加利福尼亚内华达山脉,,1689,Timeline 生成 + 回忆线路 KML 坐标计算,,1KqRFswZ8uSlKDN-9dGnRmW1tbh974nE
59,美国其他,2021.11.21,2021.11.30,2021.11.21-11.30 新奥尔良-纽约,,744,Timeline 生成 KML 坐标计算,2,1kQocYuHPHmoJs-CiOdOmClvung4Qq5c
60,西海岸,2021.12.16,2021.12.19,2021.12.16-12.19 旧金山-温哥华,,2023,Timeline 生成 KML 坐标计算,,1Zw-4tlPBlgfsPoM1pX2rUWYt3wsgeRo
61,西海岸,2021.12.29,2022.01.01,2021.12.29-2022.01.01 加拿大温哥华岛,,857,Timeline 生成 KML 坐标计算,,1HzhthpRxLqyARxcmcvco4j2qRp0Klxc
62,西海岸,2022.02.24,2022.02.27,2022.02.24-02.27 温哥华-旧金山,,2447,Timeline 生成 KML 坐标计算,,16DtTMS7t0wY7Hh3rekRY-AxtTrxXieg
63,美国其他,2022.05.26,2022.06.01,2022.05.26-06.01 新墨西哥,,2793,Timeline 生成 KML 坐标计算,2,1cwxe7xrfWexPiqN7TBWTZeCMNFznzo4
64,非自驾,2022.06.04,2022.06.27,2022.06.04-2022.06.27 加拿大维多利亚,,,,1,
65,亚利桑那合集,2022.07.01,2022.07.04,2022.07.01-07.04 二闯亚利桑那,,2556,Timeline 生成 KML 坐标计算,1,1z5foi0VLTaR4wqa6uXT-qlnZqydu4hk
66,美国其他,2022.08.28,2022.09.03,2022.08.28-09.03 佛罗里达-佐治亚-南卡罗莱纳,,1934,Timeline 生成 KML 坐标计算,1,1NFJdBiknVEWr85zvo7SJWGHwO_OhcaI
67,西海岸,2022.10.13,2022.11.13,2022.11.11-11.13 爱达荷,,2669,回忆线路生成 KML 坐标计算,,1_L3GN3QC97ec4ZfPNyPN8GIYC3Tkqho
68,非自驾,2022.11.26,2022.12.02,2022.11.26-2022.12.02 墨西哥坎昆,,,,1,
69,亚利桑那合集,2023.01.09,2023.01.16,2023.01.14-01.16 三闯亚利桑那,990,,AVIS,1,1o5rFox575ftVUbEiD4Ve-ehKSStc6I4
70,非自驾,2023.11.23,2023.11.29,2023.11.23-2023.11.29 上海-南宁,,,,1,
71,非自驾,2023.12.09,2023.12.20,2023.12.09-2023.12.20 广西-海南-广东,,,,1,
72,落地丹佛,2024.05.21,2024.05.27,2024.05.21-05.27 怀俄明-内布拉斯加-南达科他-堪萨斯-科罗拉多,3134,,AVIS,1,1Vc-7qlAEUq_9OxdI5Jr-l_uxaK6O5rE
73,非自驾,2024.06.08,2024.06.10,2024.06.08-2024.06.10 阿拉斯加冰川湾,,,,4,
74,西海岸,2024.09.23,2024.10.01,2024.09.23-10.01 加拿大落基山,,4229,回忆线路生成 KML 坐标计算,,1k0hBkB4wN_8ABLfJkDzhQ9gldkA8nkA
75,非自驾,2025.04.17,2025.04.22,2025.04.17-2025.04.22 洛杉矶,,,,1,
76,落地丹佛,2026.05.09,2026.05.20,2026.05.09-05.20 科罗拉多-新墨西哥-田纳西-亚拉巴马-密西西比,3968,,AVIS,1,17gFmNuJ7SQBmterICFLPDKGuBjPkKao
